OBJECTID,ID,CDUGF,NMUGF,ANO,DSCLASSE,BAIXO,MODERADO,ALTO,MUITO_ALTO,CRITICO,INTERMITENTE,SHAPE_Length,SHAPE_Area
1,1,1,Lagoa Mirim/Chuí,2020,Moderado,33.5,38.9,4.8,4.7,18.1,,14.3502922944155,2.38259605157129
2,2,2,Uruguai,2020,Baixo,52.5,26.4,6,3,12.2,,38.9210944695384,16.0911316309073
3,3,3,Mampituba,2020,Moderado,35.5,40.6,12.9,6.2,4.7,,2.89761136549904,0.159964582335828
4,4,4,Iguaçu,2020,Baixo,92.1,5.9,1.1,0.3,0.5,,21.9978845757693,5.91927608472966
5,5,5,Bacias Interestaduais do Litoral SC/PR,2020,Baixo,76.2,22.6,1.2,,,,1.60917524457839,0.0518028848765631
6,6,6,Ribeira do Iguape,2020,Baixo,94.7,5.1,,,0.2,,16.1587098195613,2.29356105042514
7,7,7,Paraná,2020,Baixo,76.1,20,2.9,0.5,0.5,,56.4077192837983,28.3266245750742
8,8,8,Paranapanema,2020,Baixo,77.4,18.7,3,0.5,0.3,,23.0614154808148,9.48602586830393
9,9,9,PCJ,2020,Baixo,45.5,36.6,13.6,1.9,2.4,,9.55585029026139,1.34471498702646
10,10,10,Paraíba do Sul,2020,Baixo,76.6,21.4,1.7,0.1,0.3,,20.8543446152834,5.38885768895547
11,11,11,Bacias Interestaduais do Litoral SP/RJ,2020,Baixo,98,2,,,,,2.34339998187949,0.0979592806147404
12,12,12,Grande,2020,Baixo,72,22.3,3.8,0.8,1.2,,26.5181774673968,12.4362177039457
13,13,13,Itabapoana,2020,Baixo,67.5,30.6,1.9,,,,4.79238810882523,0.420762793701177
14,14,14,Paraguai,2020,Baixo,79.1,14.8,4.8,0.7,0.7,,41.9545281166192,30.8570936252542
15,15,15,Paranaíba,2020,Baixo,63.4,28.3,5.2,1.6,1.5,,33.5253628694253,19.0565982582578
16,16,16,Doce,2020,Baixo,55.4,29.5,6.6,3.1,5.4,,21.0750754355044,7.41782634670593
17,17,17,São Mateus,2020,Moderado,7.1,58.2,11.6,7.3,15.7,,9.07388393242145,1.19256878258552
18,18,18,Itaúnas/Riacho Doce,2020,Moderado,21.7,29,17.5,10.7,21.2,,4.02159055500984,0.424429170745379
19,19,19,Mucuri,2020,Moderado,19.3,75.3,4.8,0.3,0.4,,10.5413180103763,1.3113132577929
20,20,20,Jequitinhonha,2020,Baixo,53.1,39.9,5.2,0.7,1,,21.1613668336738,5.91821093946901
21,21,21,Bacias Interestaduais do Litoral BA/MG,2020,Baixo,69.1,28.4,2.1,0.1,0.4,,8.78195643948943,2.14683609154777
22,22,22,Verde Grande,2020,Crítico,0.6,31.1,20.5,11.8,36,,11.7298305879487,2.58330460014183
23,23,23,Pardo,2020,Moderado,14.4,36.9,23,9.6,16.1,,15.2717648329772,2.745355541036
24,24,24,Real,2020,Alto,0.1,17.1,44.6,18.9,19.4,,5.50290795709234,0.754000640072914
25,25,25,Vaza-Barris,2020,Moderado,20.3,43.7,25.3,3.7,6.9,,10.1882831646444,1.35804493510298
26,26,26,Sergipe,2020,Intermitente,6.6,19,20.9,9.3,18.1,26.1,3.96772633966322,0.307869453701297
27,27,27,São Francisco,2020,Baixo,40.1,14.6,4.7,2.1,5.8,32.6,82.2424694568626,50.5397049211961
28,28,28,Mundaú/Paraíba,2020,Moderado,8.7,38.1,15.4,6.1,11.1,20.6,5.60321340238956,0.64894497150407
29,29,29,Bacias Interestaduais do Litoral AL/PE,2020,Alto,,17.9,52.4,20.8,8.9,,3.37946162351548,0.0882982421145806
30,30,30,Bacias Interestaduais do Litoral PE/PB,2020,Crítico,,0.4,,0.9,81.8,16.9,3.46520977893002,0.272041622485844
31,31,31,Bacias Interestaduais do Litoral PB/RN,2020,Intermitente,0.4,2,9.2,6,5.9,76.5,5.45836113244886,0.610478166587813
32,32,32,Piancó-Piranhas-Açu,2020,Intermitente,2.1,4.9,0.8,0.2,0.4,91.7,15.0310915738667,3.59018045886292
33,33,33,Córrego da Mata,2020,Intermitente,,,,,,100,3.27499455506034,0.164798714650051
34,34,34,Parnaíba,2020,Intermitente,35.8,11.2,6.8,3.2,5.5,37.5,41.3188360670571,27.5387939942557
35,35,35,Gurupi,2020,Baixo,96.9,3,0,,0.1,,13.9989808429637,2.84082213466697
36,36,36,Oiapoque,2020,Baixo,100,,,,,,8.52505785449125,1.01321829988305
37,37,37,Jari,2020,Baixo,99.6,0.4,0,,,,18.0419587657539,4.76446309045486
38,38,38,Tocantins-Araguaia,2020,Baixo,76.9,20,2.1,0.2,0.8,,84.8665446109547,77.4981091443997
39,39,39,Xingu e Interbacias Xingu-Tapajós,2020,Baixo,91.6,8.2,0.2,0,0,,53.298448043308,45.5785346637783
40,40,40,Tapajós e Interbacias Tapajós-Madeira,2020,Baixo,97.5,2.4,0.1,0,,,56.7673835139973,48.4260767389997
41,41,41,Bacias Interestaduais Margem Esquerda do Amazonas,2020,Baixo,99.9,0.1,,,,,23.7110675603817,9.69147400397776
42,42,42,Madeira e Interbacias Madeira-Purus,2020,Baixo,91.3,8.1,0.4,0.1,0.1,,67.0686917057527,49.4189130685288
43,43,43,Negro,2020,Baixo,98.8,1,0,0,0.1,,66.3550655222274,51.0849467837463
44,44,44,Purus e Interbacias Purus-Juruá,2020,Baixo,99.1,0.9,0,0,0,,46.9484183611789,35.8440091372708
45,45,45,Juruá e Interbacias Juruá-Jutaí,2020,Baixo,99.9,0.1,0.1,,,,40.3707185089305,14.6309587207123
46,46,46,Javari e Interbacias Javari-Juruá,2020,Baixo,100,0,,,,,29.7563580171233,15.1421467148495
47,47,47,Bacias Transf. da Margem Esquerda do Solimões,2020,Baixo,100,,,,,,28.3714169296666,7.59132428486494
48,48,48,Bacias Litorâneas Estaduais do RS,2020,Baixo,49.9,28.2,11.5,2.6,7.7,,31.0980763689488,10.8570778445711
49,49,49,Bacias Litorâneas Estaduais de SC,2020,Baixo,66.5,23.7,6.6,1.5,1.7,,18.4214126644173,3.21689520243416
50,50,50,Bacias Litorâneas Estaduais do PR,2020,Baixo,92.3,6.8,0.8,,0,,7.98012287165795,0.504023882650036
51,51,51,Bacias Litorâneas Estaduais de SP,2020,Baixo,75.7,7.3,3.7,4.7,8.6,,13.3809924835299,0.482412341950836
52,52,52,Bacias Litorâneas Estaduais do RJ,2020,Baixo,65.3,20.6,4.9,3,6.3,,18.121806960763,1.28778851831845
53,53,53,Bacias Litorâneas Estaduais do ES,2020,Baixo,50.5,40.5,5.9,1.3,1.9,,9.85891417464383,1.36503005548636
54,54,54,Bacias Litorâneas Estaduais da BA,2020,Moderado,12.8,52.8,21.5,5.1,7.8,,37.7908054209164,16.1148145935307
55,55,55,Bacias Litorâneas Estaduais de SE,2020,Crítico,0.4,6,26.4,16.9,50.3,,5.2818863794229,0.180771869019469
56,56,56,Bacias Litorâneas Estaduais de AL,2020,Crítico,,6.3,17,13.4,53.4,10,8.61010085228611,0.690849576725666
57,57,57,Bacias Litorâneas Estaduais de PE,2020,Intermitente,0.5,3.7,9.4,6.2,21.8,58.4,10.0555830794142,1.77852148791346
58,58,58,Bacias Litorâneas Estaduais da PB,2020,Intermitente,1.2,2,3.3,3.4,10.5,79.6,11.9044081486419,2.08636844074121
59,59,59,Bacias Litorâneas Estaduais do RN,2020,Intermitente,1.2,1.4,1.1,1.2,13.1,81.9,15.8633954712884,2.5951526751812
60,60,60,Bacias Litorâneas Estaduais do CE,2020,Intermitente,3.5,3.6,0.5,0.2,0.3,91.9,23.9891394446147,10.5917996459183
61,61,61,Bacias Litorâneas Estaduais do MA,2020,Baixo,45.7,45.5,7,0.9,0.8,,35.3237289852195,17.6626862517215
62,62,62,Bacias Litorâneas Estaduais do PA,2020,Baixo,95.9,3.8,0.2,0.1,0,,32.7677773793966,5.12108270257919
63,63,63,Bacias Litorâneas Estaduais do AP,2020,Baixo,98.6,1.3,0.1,,0,,19.623123547488,8.19469471403484
64,64,64,Bacias Estaduais Afluentes do rio Amazonas no PA,2020,Baixo,93.9,5.1,0.9,,0,,30.6189936452069,18.4365326935348
